OrderID,OrderDate,CustomerID,CustomerName,Product,Category,Region,Quantity,UnitPrice
1001,2026-03-23,C004,Pham Thi D,Laptop,Electronics,HCM,1,16108603
1002,2026-01-18,C004,Pham Thi D,Camera,Electronics,Da Nang,1,18657347
1003,2026-01-04,C003,Le Van C,Monitor,Electronics,Ha Noi,1,6614227
1004,2026-03-13,C007,Tran Van G,Camera,Electronics,Hue,4,7973379
1005,2026-03-17,C009,Do Van I,Laptop,Electronics,Ha Noi,2,23712835
1006,2026-02-13,C009,Do Van I,Keyboard,Accessories,Ha Noi,4,1100581
1007,2026-01-14,C003,Le Van C,Tablet,Electronics,Da Nang,3,10772674
1008,2026-03-19,C009,Do Van I,Laptop,Electronics,Hue,1,20996414
1009,2026-04-29,C013,Nguyen Van N,Mouse,Accessories,Can Tho,3,184854
1010,2026-03-21,C012,Le Thi M,Desk Lamp,Office,Ha Noi,1,594398
1011,2026-01-06,C008,Hoang Thi H,Headphone,Accessories,Da Nang,1,848197
1012,2026-02-18,C009,Do Van I,USB,Accessories,HCM,4,165277
1013,2026-02-15,C007,Tran Van G,Headphone,Accessories,Da Nang,2,1657440
1014,2026-03-10,C008,Hoang Thi H,Keyboard,Accessories,Hue,2,667887
1015,2026-04-29,C018,Nguyen Thi S,Monitor,Electronics,HCM,2,2844241
1016,2026-04-16,C002,Tran Thi B,Printer,Office,Hue,1,2742986
1017,2026-01-28,C019,Le Van T,Printer,Office,Ha Noi,2,4369109
1018,2026-02-20,C015,Vo Van P,Keyboard,Accessories,HCM,3,446413
1019,2026-04-06,C018,Nguyen Thi S,Camera,Electronics,HCM,4,16807812
1020,2026-04-25,C019,Le Van T,Tablet,Electronics,HCM,1,8179591
1021,2026-03-07,C016,Dang Thi Q,Mouse,Accessories,Da Nang,1,333732
1022,2026-01-20,C006,Nguyen Thi F,Tablet,Electronics,Can Tho,2,5565818
1023,2026-02-18,C020,Tran Van U,USB,Accessories,Can Tho,1,141906
1024,2026-03-29,C004,Pham Thi D,Camera,Electronics,HCM,1,15914394
1025,2026-02-07,C014,Tran Thi O,Keyboard,Accessories,Hue,3,273402
1026,2026-04-23,C009,Do Van I,Camera,Electronics,Ha Noi,1,21534970
1027,2026-04-22,C010,Bui Thi K,Camera,Electronics,Can Tho,1,7387174
1028,2026-02-17,C006,Nguyen Thi F,Camera,Electronics,Can Tho,3,4059594
1029,2026-02-11,C016,Dang Thi Q,Laptop,Electronics,Da Nang,2,16889806
1030,2026-01-31,C002,Tran Thi B,Monitor,Electronics,Can Tho,1,6221793
1031,2026-01-11,C016,Dang Thi Q,Mouse,Accessories,Can Tho,1,308758
1032,2026-01-17,C016,Dang Thi Q,Camera,Electronics,Ha Noi,3,8496912
1033,2026-04-22,C020,Tran Van U,Tablet,Electronics,Ha Noi,2,13797886
1034,2026-04-02,C010,Bui Thi K,Tablet,Electronics,HCM,3,11850099
1035,2026-02-27,C004,Pham Thi D,Monitor,Electronics,Ha Noi,2,3037088
1036,2026-01-03,C019,Le Van T,Camera,Electronics,Ha Noi,1,13922386
1037,2026-01-01,C003,Le Van C,Laptop,Electronics,Ha Noi,1,12530789
1038,2026-04-21,C011,Pham Van L,Mouse,Accessories,Can Tho,3,238782
1039,2026-03-27,C016,Dang Thi Q,Monitor,Electronics,Can Tho,3,2804956
1040,2026-04-30,C019,Le Van T,Desk Lamp,Office,Hue,2,352400
1041,2026-04-14,C014,Tran Thi O,Monitor,Electronics,Da Nang,3,2656557
1042,2026-02-25,C012,Le Thi M,Tablet,Electronics,Hue,3,12335373
1043,2026-01-07,C004,Pham Thi D,Laptop,Electronics,Hue,2,24217396
1044,2026-04-13,C004,Pham Thi D,Monitor,Electronics,Ha Noi,3,4095587
1045,2026-02-27,C005,Vo Van E,Tablet,Electronics,Ha Noi,2,9173212
1046,2026-02-01,C003,Le Van C,USB,Accessories,Can Tho,1,101666
1047,2026-03-25,C018,Nguyen Thi S,Laptop,Electronics,Da Nang,2,24042731
1048,2026-01-22,C014,Tran Thi O,USB,Accessories,Hue,2,128032
1049,2026-04-26,C002,Tran Thi B,Keyboard,Accessories,Hue,2,272260
1050,2026-02-03,C015,Vo Van P,Headphone,Accessories,Hue,3,2441247
1051,2026-01-25,C010,Bui Thi K,Monitor,Electronics,Da Nang,3,4679258
1052,2026-03-11,C002,Tran Thi B,Printer,Office,Da Nang,3,1830312
1053,2026-03-03,C017,Phan Van R,Camera,Electronics,Ha Noi,3,5004280
1054,2026-01-11,C006,Nguyen Thi F,Mouse,Accessories,Can Tho,3,125815
1055,2026-04-21,C008,Hoang Thi H,Tablet,Electronics,Da Nang,1,14057567
1056,2026-03-16,C020,Tran Van U,Laptop,Electronics,Can Tho,4,12775453
1057,2026-03-26,C019,Le Van T,Desk Lamp,Office,Can Tho,2,390868
1058,2026-01-27,C011,Pham Van L,Monitor,Electronics,HCM,2,5695092
1059,2026-03-27,C010,Bui Thi K,USB,Accessories,HCM,1,269096
1060,2026-01-02,C015,Vo Van P,Desk Lamp,Office,Can Tho,1,354837
1061,2026-03-10,C007,Tran Van G,Camera,Electronics,HCM,3,6497252
1062,2026-04-23,C003,Le Van C,Monitor,Electronics,HCM,2,4765647
1063,2026-02-26,C018,Nguyen Thi S,Headphone,Accessories,Can Tho,1,2072611
1064,2026-03-27,C018,Nguyen Thi S,Headphone,Accessories,Da Nang,2,2221565
1065,2026-02-03,C004,Pham Thi D,Mouse,Accessories,Can Tho,4,201499
1066,2026-02-06,C020,Tran Van U,Monitor,Electronics,HCM,3,4082898
